"dbClass","dbSpecies","dbSource","dbAbbv","dbType"
"TxDb","Btaurus","UCSC","bosTau9","refGene"
"TxDb","Celegans","UCSC","ce11","refGene"
"TxDb","Cfamiliaris","UCSC","canFam3","refGene"
"TxDb","Dmelanogaster","UCSC","dm6","ensGene"
"TxDb","Drerio","UCSC","danRer11","refGene"
"TxDb","Ggallus","UCSC","galGal6","refGene"
"TxDb","Hsapiens","UCSC","hg38","knownGene"
"TxDb","Mmulatta","UCSC","rheMac10","refGene"
"TxDb","Mmusculus","UCSC","mm10","knownGene"
"TxDb","Ptroglodytes","UCSC","panTro6","refGene"
"TxDb","Rnorvegicus","UCSC","rn6","refGene"
"TxDb","Scerevisiae","UCSC","sacCer3","sgdGene"
"TxDb","Sscrofa","UCSC","susScr11","refGene"
